,index_x,PlayerName,Average,StandardDeviation,Average_STD_Ratio,GamesPlayed,level_0,index_y,Unnamed: 0,Name,Pos.,Height,From,To,Seasons
232,250,D.J. Augustin,44.2701063936469,23.98271062326746,1.8459175482314782,55,17,17,17,D.J. Augustin,PG,1.80/ 5'11'',2008,2021,13
233,251,Jaxson Hayes,44.26284695433737,23.29642170301795,1.8999847924543414,59,196,196,15,Jaxson Hayes,C,2.11/ 6'11'',2019,2021,2
234,252,Andre Iguodala,44.25629213723548,20.75055638828152,2.132776167979205,62,226,226,1,Andre Iguodala,SF/PF,1.98/ 6'6'',2004,2021,17
235,253,Kyle Kuzma,44.207545250097326,17.790710221902152,2.4848668040061375,65,274,274,16,Kyle Kuzma,SF/PF,2.06/ 6'9'',2017,2021,4
236,254,James Wiseman,44.14818278119552,16.203492853738176,2.724609019777514,39,511,511,31,James Wiseman,C,2.16/ 7'1'',2020,2021,1
237,256,Garrett Temple,44.09386657981189,19.805907059410572,2.226298772762399,55,451,451,2,Garrett Temple,SG/SF,1.96/ 6'5'',2009,2021,11
238,257,Jordan McLaughlin,44.07639484011543,20.419827985648823,2.1585096050315693,50,321,321,22,Jordan McLaughlin,PG,1.80/ 5'11'',2019,2021,2
239,258,Ben Simmons,44.04930906039134,12.747907372414604,3.4554148985825175,55,433,433,11,Ben Simmons,PG,2.07/ 6'9'',2017,2021,4
240,259,Terance Mann,44.0480696619273,29.20498249708497,1.5082381804654004,65,301,301,2,Terance Mann,SG/SF,1.96/ 6'5'',2019,2021,2
241,260,Malik Monk,44.03024356820223,28.703484479085834,1.533968588388072,42,333,333,34,Malik Monk,SG,1.91/ 6'3'',2017,2021,4
242,261,Patrick Beverley,44.023013696814175,22.31841878573409,1.9724969819525764,35,41,41,19,Patrick Beverley,PG,1.85/ 6'1'',2012,2021,9
243,262,Mitchell Robinson,44.00251455099715,14.47369969777875,3.0401704795457465,30,413,413,12,Mitchell Robinson,C,2.13/ 7'0'',2018,2021,3
244,263,Rui Hachimura,43.9851646350973,17.28664348373499,2.544459523127376,55,181,181,0,Rui Hachimura,PF/C,2.03/ 6'8'',2019,2021,2
245,264,Jaden McDaniels,43.93229068115991,22.26901198232483,1.9727992744370282,62,315,315,16,Jaden McDaniels,PF/SF,2.08/ 6'10'',2020,2021,1
246,265,Dwayne Bacon,43.89063405081007,19.670971261890223,2.2312387866603256,70,22,22,0,Dwayne Bacon,SF/SG,2.01/ 6'7'',2017,2021,4
247,266,Goga Bitadze,43.72748451605507,24.576763827106603,1.7792206013643848,43,45,45,23,Goga Bitadze,C,2.11/ 6'11'',2019,2021,2
248,268,Cedi Osman,43.55249276667179,24.45129993800188,1.7811933466565142,57,373,373,13,Cedi Osman,SF,2.01/ 6'7'',2017,2021,4
249,270,Marquese Chriss,43.401162790697676,12.867698983220311,3.3728767549888676,2,93,93,13,Marquese Chriss,C,2.06/ 6'9'',2016,2021,5
250,271,Kira Lewis Jr.,43.34931350774176,25.866570262885066,1.6758817681346028,53,287,287,12,Kira Lewis Jr.,SG/PG,1.91/ 6'3'',2020,2021,1
251,272,Anthony Davis,43.329951633020286,15.090260109035718,2.871385338618203,35,113,113,0,Anthony Davis,PF/C,2.08/ 6'10'',2012,2021,9
252,274,LaMarcus Aldridge,43.26959352980885,20.010619946816632,2.162331484222324,26,4,4,4,LaMarcus Aldridge,C/PF,2.11/ 6'11'',2006,2021,15
253,275,Bryn Forbes,43.21573878173572,24.07514227795941,1.795035654734193,66,147,147,5,Bryn Forbes,SG/PG,1.88/ 6'2'',2016,2021,5
254,277,Montrezl Harrell,43.159175807993826,17.049875909894507,2.531348382597165,66,188,188,7,Montrezl Harrell,C/PF,2.01/ 6'7'',2015,2021,6
255,278,Terence Davis,43.12073478591246,28.450100260669267,1.5156619622013972,60,114,114,1,Terence Davis,SF/SG,1.93/ 6'4'',2019,2021,2
256,279,Lonnie Walker,43.07880893722822,21.649954622205524,1.9897874932746484,58,485,485,5,Lonnie Walker,SG,1.96/ 6'5'',2018,2021,3
257,280,Alex Len,43.05368019472054,29.13229801096177,1.477867629203865,63,283,283,8,Alex Len,C,2.13/ 7'0'',2013,2021,8
258,282,Tyus Jones,42.983457078662056,19.7225518914377,2.1794064639942863,67,254,254,22,Tyus Jones,PG,1.83/ 6'0'',2015,2021,6
259,283,Malachi Flynn,42.9428199834069,31.253842403868003,1.3740012964963393,47,146,146,4,Malachi Flynn,PG/SG,1.85/ 6'1'',2020,2021,1
260,284,James Johnson,42.849647922299646,26.050502913604237,1.644868356837843,50,245,245,13,James Johnson,PF,2.01/ 6'7'',2009,2021,12
261,285,Dwight Powell,42.84739382036084,29.395105000411675,1.4576370392199915,57,393,393,17,Dwight Powell,C,2.08/ 6'10'',2014,2021,7
262,286,Saben Lee,42.813666670797424,28.32701116915492,1.5114078366805221,48,282,282,7,Saben Lee,PG,1.88/ 6'2'',2020,2021,1
263,287,Kevon Looney,42.76576170610373,18.148807168052965,2.3563951784877393,61,291,291,16,Kevon Looney,C,2.06/ 6'9'',2015,2021,6
264,288,Aaron Holiday,42.64227472938333,28.07911412884088,1.5186474378685686,65,208,208,27,Aaron Holiday,PG,1.83/ 6'0'',2018,2021,3
265,289,Elfrid Payton,42.587470366390086,20.182171729972566,2.1101530071287318,62,382,382,6,Elfrid Payton,PG,1.91/ 6'3'',2014,2021,7
266,290,Frank Jackson,42.523313168721366,29.30843811247882,1.4508897746624025,40,232,232,0,Frank Jackson,SG/PG,1.91/ 6'3'',2018,2021,3
267,294,Payton Pritchard,42.21844443003709,26.85405889432408,1.572143883208674,61,398,398,22,Payton Pritchard,PG,1.88/ 6'2'',2020,2021,1
268,295,Tyrese Maxey,42.20236476238425,29.859370457059683,1.4133708821180555,57,310,310,11,Tyrese Maxey,PG/SG,1.91/ 6'3'',2020,2021,1
269,296,Al-Farouq Aminu,42.136628468816276,26.909915556683675,1.565840233874339,22,9,9,9,Al-Farouq Aminu,PF/SF,2.03/ 6'8'',2010,2021,11
270,297,Landry Shamet,42.09993551418992,23.895310574424467,1.7618492709297595,58,430,430,8,Landry Shamet,SG/SF,1.93/ 6'4'',2018,2021,3
271,298,Anfernee Simons,42.01977603678881,25.885760565819794,1.623277629024846,63,435,435,13,Anfernee Simons,PG/SG,1.91/ 6'3'',2018,2021,3
