,Name,Pos.,Height,From,To,Seasons
9,Alex Caruso,SG/PG,1.96/ 6'5'',2017,2021,4
10,Willie Cauley-Stein,C,2.13/ 7'0'',2015,2021,6
12,Chris Chiozza,PG,1.80/ 5'11'',2018,2021,3
13,Marquese Chriss,C,2.06/ 6'9'',2016,2021,5
15,Brandon Clarke,C/PF,2.03/ 6'8'',2019,2021,2
16,Jordan Clarkson,SG/PG,1.93/ 6'4'',2014,2021,7
17,Nicolas Claxton,C/PF,2.11/ 6'11'',2019,2021,2
18,Amir Coffey,SF/SG,2.01/ 6'7'',2019,2021,2
19,John Collins,PF/C,2.06/ 6'9'',2017,2021,4
20,Zach Collins,C/PF,2.11/ 6'11'',2017,2020,3
21,Mike Conley,PG,1.85/ 6'1'',2007,2021,14
22,Pat Connaughton,SF/SG,1.96/ 6'5'',2015,2021,6
23,Tyler Cook,PF/C,2.03/ 6'8'',2019,2021,2
26,Robert Covington,PF/SF,2.01/ 6'7'',2013,2021,8
27,Torrey Craig,SF,2.01/ 6'7'',2017,2021,4
28,Jae Crowder,PF/SF,1.98/ 6'6'',2012,2021,9
29,Jarrett Culver,SF/SG,1.98/ 6'6'',2019,2021,2
31,Seth Curry,SG/PG,1.88/ 6'2'',2013,2021,7
32,Stephen Curry,PG,1.91/ 6'3'',2009,2021,12
0,Anthony Davis,PF/C,2.08/ 6'10'',2012,2021,9
1,Terence Davis,SF/SG,1.93/ 6'4'',2019,2021,2
2,Gabriel Deck,SF/PF,1.99/ 6'6'',2020,2021,1
3,Dewayne Dedmon,C,2.13/ 7'0'',2013,2021,8
4,Sam Dekker,PF,2.06/ 6'9'',2015,2019,4
5,DeMar DeRozan,SF/SG,1.98/ 6'6'',2009,2021,12
6,Mamadi Diakite,C/PF,2.06/ 6'9'',2020,2021,1
7,Hamidou Diallo,SG/SF,1.96/ 6'5'',2018,2021,3
8,Gorgui Dieng,C,2.08/ 6'10'',2013,2021,8
9,Spencer Dinwiddie,PG/SG,1.96/ 6'5'',2014,2021,7
10,Donte DiVincenzo,SG/PG,1.93/ 6'4'',2018,2021,3
11,Luka Doncic,PG/SG,2.01/ 6'7'',2018,2021,3
12,Luguentz Dort,SG/SF,1.91/ 6'3'',2019,2021,2
14,Devon Dotson,PG,1.88/ 6'2'',2020,2021,1
15,Sekou Doumbouya,SF/PF,2.03/ 6'8'',2019,2021,2
16,P.J. Dozier,SF/SG,1.98/ 6'6'',2017,2021,4
17,Goran Dragic,PG,1.91/ 6'3'',2008,2021,13
18,Andre Drummond,C,2.08/ 6'10'',2012,2021,9
20,Kris Dunn,PG/SG,1.91/ 6'3'',2016,2021,5
21,Kevin Durant,PF/SF,2.08/ 6'10'',2007,2021,13
0,Anthony Edwards,SG/SF,1.98/ 6'6'',2020,2021,1
1,Carsen Edwards,PG/SG,1.80/ 5'11'',2019,2021,2
3,C.J. Elleby,SG/SF,1.98/ 6'6'',2020,2021,1
