"fantasyPointsRank","playerName","teamName","position","byeWeek","games","fantasyPoints","passComp","passAtt","passYds","passTd","passInt","passSacked","rushAtt","rushYds","rushTd","recvTargets","recvReceptions","recvYds","recvTd","fumbles","fumblesLost","twoPt","returnYds","returnTd","fgMade019","fgAtt019","fgMade2029","fgAtt2029","fgMade3039","fgAtt3039","fgMade4049","fgAtt4049","fgMade50plus","fgAtt50plus","patMade","patAtt","dstSacks","dstSafeties","dstInt","dstFumblesForced","dstFumblesRecovered","dstTd","dstReturnYds","dstReturnTd","dstPts0","dstPts16","dstPts713","dstPts1420","dstPts2127","dstPts2834","dstPts35plus","idpTacklesSolo","idpTacklesAssist","idpSacks","idpTacklesForLoss","idpPassDefended","idpInt","idpFumblesForced","idpFumblesRecovered","idpSafeties","idpTd"
"222","Durham Smythe","MIA","te","14","@JAX","2.6","0","0","0","0","0","0","0","0","0","1.512","1.155","9.3714","0.0795","0.0118","0.0059","0.0031","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"223","Tommy Tremble","CAR","te","13","MIN","2.6","0","0","0","0","0","0","0","0","0","1.4257","0.9877","10.8086","0.0809","0.011","0.0055","0.0024","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"224","Tavon Austin","JAX","wr","7","MIA","4.9","0","0","0","0","0","0","0.116","0.4867","0.0055","2.9747","2.0137","22.2837","0.1025","0.0232","0.0116","0.0048","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"225","Le'Veon Bell","BLT","rb","8","LAC","1.5","0","0","0","0","0","0","2.0948","8.9204","0.0602","0.1411","0.1155","0.8131","0.0039","0.0083","0.0041","0.0014","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"226","Benny Snell Jr.","PIT","rb","7","SEA","1.5","0","0","0","0","0","0","1.9389","6.9591","0.045","0.3593","0.2856","2.0183","0.0095","0.0235","0.0118","0.0015","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"227","Larry Rountree III","LAC","rb","7","@BLT","1.5","0","0","0","0","0","0","1.6859","6.9949","0.0429","0.3442","0.2746","2.0063","0.0076","0.0163","0.0081","0.0015","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"228","Donovan Peoples-Jones","CLV","wr","13","ARZ","4.7","0","0","0","0","0","0","0.0255","0.1512","0.0009","2.4927","1.6572","23.3247","0.1236","0.0512","0.0256","0.0085","14.2415","0.0209","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"229","Jimmy Graham","CHI","te","10","GB","2.1","0","0","0","0","0","0","0","0","0","1.2361","0.8465","8.2388","0.0737","0.0122","0.0061","0.0024","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"230","Jalen Richard","LV","rb","8","@DEN","1.3","0","0","0","0","0","0","0.5004","1.9278","0.0075","0.6504","0.5157","4.2957","0.0213","0.0122","0.0061","0.0011","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"231","Alec Ingold","LV","rb","8","@DEN","1.3","0","0","0","0","0","0","0.2502","0.905","0.0047","0.6504","0.5144","4.2647","0.0366","0.0078","0.0039","0.0009","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"232","Marcedes Lewis","GB","te","13","@CHI","2","0","0","0","0","0","0","0","0","0","0.9776","0.7326","6.7241","0.0915","0.0075","0.0037","0.0037","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"233","Darren Fells","DET","te","9","CIN","2","0","0","0","0","0","0","0","0","0","1.0354","0.764","8.2636","0.0609","0.0072","0.0036","0.0015","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"234","MyCole Pruitt","TEN","te","13","BUF","2","0","0","0","0","0","0","0","0","0","1.0694","0.8127","7.8587","0.0636","0.0086","0.0043","0.0033","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
